attribute,mean,max,min
nAtomP,7.71936274509804,34.0,0.0
pattern_c44,0.49203431372549017,1.0,0.0
maccs_322_035,0.5661764705882353,1.0,0.0
pubchem_f256,0.5220588235294118,1.0,0.0
maccs_k162,0.522671568627451,1.0,0.0
aromatic,0.522671568627451,1.0,0.0
pubchem_f604,0.46875,1.0,0.0
pubchem_f585,0.46875,1.0,0.0
pubchem_f579,0.46875,1.0,0.0
pubchem_f678,0.46875,1.0,0.0
pubchem_f385,0.5073529411764706,1.0,0.0
pattern_c75,0.5079656862745098,1.0,0.0
pubchem_f372,0.47181372549019607,1.0,0.0
pattern_c71,0.47181372549019607,1.0,0.0
pubchem_f471,0.47181372549019607,1.0,0.0
pubchem_f521,0.47181372549019607,1.0,0.0
pubchem_f553,0.47181372549019607,1.0,0.0
pubchem_f619,0.46017156862745096,1.0,0.0
pubchem_f669,0.4742647058823529,1.0,0.0
pubchem_f635,0.4742647058823529,1.0,0.0
pattern_c77,0.44669117647058826,1.0,0.0
pattern_c73,0.45955882352941174,1.0,0.0
pattern_c88,0.6605392156862745,1.0,0.0
maccs_322_028,0.6605392156862745,1.0,0.0
pubchem_f596,0.47855392156862747,1.0,0.0
pubchem_f609,0.47855392156862747,1.0,0.0
pubchem_f571,0.4834558823529412,1.0,0.0
pubchem_f356,0.5177696078431373,1.0,0.0
pubchem_f371,0.4852941176470588,1.0,0.0
pattern_c76,0.44424019607843135,1.0,0.0
pubchem_f665,0.5159313725490197,1.0,0.0
pubchem_f565,0.5202205882352942,1.0,0.0
pubchem_f618,0.5367647058823529,1.0,0.0
meta_substituted_ring,0.5091911764705882,1.0,0.0
hydroxyl,0.5680147058823529,1.0,0.0
pubchem_f407,0.5680147058823529,1.0,0.0
pattern_c89,0.6446078431372549,1.0,0.0
maccs_322_034,0.6446078431372549,1.0,0.0
pattern_c34,0.6446078431372549,1.0,0.0
maccs_k139,0.5790441176470589,1.0,0.0
pubchem_f309,0.5790441176470589,1.0,0.0
para_substituted_ring,0.5110294117647058,1.0,0.0
ortho_substituted_ring,0.5079656862745098,1.0,0.0
maccs_322_015,0.5098039215686274,1.0,0.0
maccs_k144,0.5098039215686274,1.0,0.0
maccs_k125,0.33026960784313725,1.0,0.0
pubchem_f340,0.39215686274509803,1.0,0.0
pubchem_f258,0.3272058823529412,1.0,0.0
nB,28.758578431372534,176.0,0.0
ATSm4,53.860832400735276,378.682984,0.0
nHBDon,2.8382352941176467,34.0,0.0
maccs_k132,0.5912990196078431,1.0,0.0
carbonyl,0.5741421568627451,1.0,0.0
maccs_322_027,0.7849264705882353,1.0,0.0
pattern_c86,0.7849264705882353,1.0,0.0
pubchem_f572,0.3474264705882353,1.0,0.0
aliphatic alcohol,0.3161764705882353,1.0,0.0
maccs_322_044,0.6795343137254902,1.0,0.0
pattern_c111,0.2800245098039216,1.0,0.0
secondary alcohol,0.31433823529411764,1.0,0.0
bpol,38.370044866421495,247.965709,0.0
ATSm5,51.71408499080885,407.642377,0.0
ATSm2,33.31832267708328,201.24035,0.0
MW,387.55185144056384,2446.198955,17.00274
pubchem_f357,0.4221813725490196,1.0,0.0
AMR,100.4979493872547,512.0106,0.0
ATSm3,48.25158931004907,298.747967,0.0
pubchem_f004,0.26715686274509803,1.0,0.0
apol,61.480370574754836,366.140291,1.468793
pubchem_f021,0.4105392156862745,1.0,0.0
maccs_k140,0.4105392156862745,1.0,0.0
maccs_k090,0.47120098039215685,1.0,0.0
XLogP,2.3193351715686266,23.399,-19.634
pubchem_f517,0.5802696078431373,1.0,0.0
ALogP,-0.8091128063725477,11.273,-28.3519
TopoPSA,102.97335171568615,965.2,0.0
maccs_322_051,0.35049019607843135,1.0,0.0
maccs_322_127,0.5943627450980392,1.0,0.0
pattern_c16,0.27267156862745096,1.0,0.0
pubchem_f634,0.24387254901960784,1.0,0.0
MLogP,2.906311274509805,7.29,-2.06
